Municipality,Population,Cases,Deaths
Acambay de Ruíz Castañeda,67872,440,39
Acolman,171507,1249,103
Aculco,49266,113,8
Almoloya de Alquisiras,15333,67,7
Almoloya de Juárez,174587,922,180
Almoloya del Río,12694,133,32
Amanalco,23675,171,20
Amatepec,25244,82,16
Amecameca,53441,435,46
Apaxco,31898,187,56
Atenco,75489,481,62
Atizapán,12984,677,149
Atizapán de Zaragoza,523674,5032,588
Atlacomulco,109384,1386,288
Atlautla,31900,146,10
Axapusco,29128,285,19
Ayapango,10053,33,2
Calimaya,68489,448,90
Capulhuac,36921,331,27
Coacalco de Berriozábal,293444,4486,616
Coatepec Harinas,38643,79,13
Cocotitlán,15107,166,10
Coyotepec,40885,451,74
Cuautitlán,178847,3675,401
Chalco,400057,7921,1317
Chapa de Mota,31737,88,16
Chapultepec,12772,138,23
Chiautla,30045,160,28
Chicoloapan,200750,1561,162
Chiconcuac,27692,167,19
Chimalhuacán,705193,4977,542
Donato Guerra,37436,73,14
Ecatepec de Morelos,1645352,23799,3141
Ecatzingo,10827,27,1
Huehuetoca,163244,1094,104
Hueypoxtla,46757,260,40
Huixquilucan,284965,3401,171
Isidro Fabela,11929,62,2
Ixtapaluca,542211,5437,591
Ixtapan de la Sal,36911,179,24
Ixtapan del Oro,6475,15,1
Ixtlahuaca,160139,841,186
Xalatlaco,30687,224,34
Jaltenco,28217,179,42
Jilotepec,87671,564,89
Jilotzingo,19877,200,13
Jiquipilco,76826,213,49
Jocotitlán,69264,538,63
Joquicingo,15428,105,32
Juchitepec,27116,102,10
Lerma,170327,1616,329
Malinalco,28155,125,33
Melchor Ocampo,61220,604,107
Metepec,242307,3410,588
Mexicaltzingo,13807,148,31
Morelos,33164,129,13
Naucalpan de Juárez,834434,13338,1315
Nezahualcóyotl,1077208,18330,1081
Nextlalpan,57082,271,55
Nicolás Romero,430601,3834,515
Nopaltepec,10351,111,4
Ocoyoacac,72103,709,162
Ocuilan,36223,160,37
El Oro,36937,329,70
Otumba,36331,308,32
Otzoloapan,4891,13,4
Otzolotepec,88783,480,117
Ozumba,30785,256,14
Papalotla,4862,29,4
La Paz,304088,2681,598
Polotitlán,14985,46,2
Rayón,15972,110,20
San Antonio la Isla,31962,273,57
San Felipe del Progreso,144924,465,79
San Martín de las Pirámides,29182,232,16
San Mateo Atenco,97418,941,186
Santo Tomás,9729,37,3
Soyaniquilpan de Juárez,14323,52,6
Sultepec,24145,59,12
Tecámac,547503,5275,814
Tejupilco,79282,1068,157
Temamatla,14130,219,9
Temascalapa,43593,300,35
Temascalcingo,66414,319,40
Temascaltepec,35014,132,29
Temoaya,105766,501,103
Tenancingo,104677,786,186
Tenango del Aire,11359,94,6
Tenango del Valle,90518,732,149
Teoloyucán,65459,595,120
Teotihuacán,58507,723,75
Tepetlaoxtoc,32564,101,12
Tepetlixpa,20500,113,7
Tepotzotlán,103696,572,49
Tequixquiac,39489,190,39
Texcaltitlán,18482,92,5
Texcalyacac,5736,57,7
Texcoco,277562,2469,487
Tezoyuca,47044,345,51
Tianguistenco,84259,612,80
Timilpan,16414,79,9
Tlalmanalco,49196,739,35
Tlalnepantla de Baz,672202,11358,1059
Tlatlaya,31762,85,28
Toluca,910608,14387,2373
Tonatico,12912,71,13
Tultepec,157645,1741,220
Tultitlán,516341,5903,1026
Valle de Bravo,61590,433,33
Villa de Allende,53275,89,19
Villa del Carbón,51498,180,13
Villa Guerrero,69086,173,36
Villa Victoria,108196,271,30
Xonacatlán,54633,651,140
Zacazonapan,5109,18,1
Zacualpan,13522,36,3
Zinacantepec,203872,1611,285
Zumpahuacán,18833,100,29
Zumpango,280455,2082,318
Cuautitlán Izcalli,555163,5257,1046
Valle de Chalco Solidaridad,391731,2181,412
Luvianos,28822,170,36
San José del Rincón,100082,218,35
Tonanitla,14883,66,11
